name,protein,fat,carbohydrate,energy
pr_doze,21,1,1,40
oats,13,6.5,68,379
yogurt,3.5,3.7,4.7,61
banana,1.1,3,29,89
berry,0.4,0.6,12.2,51
cottage_cheese,13,1.4,5.4,85
buckwheat,13.2,3.04,71.5,343
chickpeas,7.4,2.4,15,124
quinoa,4.4,1.9,21.3,120
bread_jivena,2.45,1.36,12.1,74
walnut,15.23,65.21,13.7,654
cashew,15.3,46.3,32.7,574
peanut,29,52,11,628
apple,0.3,0.13,13,48
potato_butter,5,7.6,11.3,132
potato_oven_butter,2.1,4.3,12.8,93
kashkaval,22,25.7,6.1,343
cheese,22,17,16,264
salad_tomato_cucumber,0.7,0.17,2.5,15
rice,2.7,0.3,28.2,130
pork_steak,19,24,10,332
chiken_breast,28,2.8,0,137
trout,26.7,8.5,0,190
egg_fry,13.6,14.8,1,196
